,Algorithm,Compl,Homo,V-meas,DB,Silhouette
0,MinMaxKmeans_b0,0.736,0.735,0.736,0.786,0.487
1,MinMaxKmeans_b01,0.736,0.735,0.736,0.786,0.487
2,MinMaxKmeans_b03,0.735,0.723,0.728,0.783,0.485
3,Kmeans,0.715,0.681,0.697,0.793,0.496
4,Kmeans++,0.728,0.707,0.717,0.779,0.498
5,Kmedians,0.737,0.698,0.716,0.779,0.492
6,Kpifs,0.43,0.397,0.413,1.114,0.319
7,MinMaxKmeans_b0+k-Means,0.747,0.736,0.742,0.761,0.504
8,MinMaxKmeans_b01+k-Means,0.747,0.736,0.742,0.761,0.504
9,MinMaxKmeans_b03+k-Means,0.747,0.736,0.742,0.761,0.504
10,Kmedians+k-Means,0.653,0.533,0.587,0.862,0.498
11,Kpifs+k-Means,0.715,0.714,0.714,0.787,0.482
